Launch Date,Name,Launch Site,Contractor,Class,Sub-type,Ejector,Mission Type,Mission Status,Functional Status,Launch Vehicle
2/27/2014,Flock-1 25,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/27/2014,Flock-1 23,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/27/2014,Flock-1 26,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/27/2014,Flock-1 24,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/27/2014,IFT 1 (Yui),TNSTA,University of Tsukuba,uni,1U,JPOD,E,2,D,H-2A-202
2/27/2014,OPUSAT (CosMoz),TNSTA,Osaka Prefecture University,uni,1U,JPOD,T,3,D,H-2A-202
2/27/2014,INVADER (CO-77),TNSTA,Tama Art University,uni,1U,JPOD,E,5,D,H-2A-202
2/27/2014,KSAT 2 (Hayato 2),TNSTA,Kagoshima University,uni,1U,JPOD,T,3,D,H-2A-202
2/28/2014,Ardusat 2,WLPIS,NanoSatisfi,com,2U,NRCSD,E,2,D,Antares
2/28/2014,UAPSat,WLPIS,Pontifical Catholic University of Peru,uni,1U,NRCSD,E,2,D,Antares
2/28/2014,SkyCube,WLPIS,Southern Stars Group LLC,com,1U,NRCSD,I,2,D,Antares
2/28/2014,LitSat 1,WLPIS,Kaunas University of Technology,uni,1U,NRCSD,E,5,D,Antares
2/28/2014,LituanicaSAT 1,WLPIS,Kaunas University of Technology,uni,1U,NRCSD,E,4,D,Antares
2/28/2014,Flock-1 27,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
2/28/2014,Flock-1 28,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares
4/18/2014,SporeSat,AFETR,NASA Ames,civ,3U,PPOD,S,5,D,Falcon-9 v1.1
4/18/2014,TSAT (TestSat-Lite),AFETR,Taylor University,uni,2U,PPOD,T,4,D,Falcon-9 v1.1
4/18/2014,ALL-STAR/THEIA,AFETR,Colorado Space Grant Consortium,uni,3U,PPOD,S,2,D,Falcon-9 v1.1
4/18/2014,PhoneSat 2.5,AFETR,NASA Ames,civ,1U,PPOD,T,5,D,Falcon-9 v1.1
4/18/2014,KickSat 1,AFETR,Cornell University,uni,3U,PPOD,T,3,D,Falcon-9 v1.1
6/19/2014,ANTELSAT,TTMTR,Facultad de Ingeniería de la Universidad de la República,uni,2U,PPOD,E,4,A,Dnepr
6/19/2014,Flock-1c 09 090B,TTMTR,Planet Labs,com,3U,ISIPOD,I,4,A,Dnepr
6/19/2014,Flock-1c 06 0908,TTMTR,Planet Labs,com,3U,ISIPOD,I,4,A,Dnepr
6/19/2014,Perseus-M 2,TTMTR,Dauria Aerospace,com,6U,???,C,4,A,Dnepr
6/19/2014,Flock-1c 05 0907,TTMTR,Planet Labs,com,3U,ISIPOD,I,4,A,Dnepr
6/19/2014,Perseus-M 1,TTMTR,Dauria Aerospace,com,6U,???,C,4,A,Dnepr
6/19/2014,Flock-1c 08 090A,TTMTR,Planet Labs,com,3U,ISIPOD,I,4,A,Dnepr
6/19/2014,Flock-1c 03 0905,TTMTR,Planet Labs,com,3U,ISIPOD,I,4,A,Dnepr
6/19/2014,PolyITAN 1,TTMTR,National Technical University of Ukraine,uni,1U,ISIPOD,E,4,A,Dnepr
6/19/2014,Tigrisat,TTMTR,La Sapienza University of Rome,uni,3U,PEPPOD,S,4,A,Dnepr
6/19/2014,Lemur 1,TTMTR,NanoSatisfi,com,3U,PPOD,T,?,A,Dnepr
6/19/2014,AeroCube 6A,TTMTR,Aerospace Corporation,mil,0.5U,PPOD,S,4,A,Dnepr
6/19/2014,AeroCube 6B,TTMTR,Aerospace Corporation,mil,0.5U,PPOD,S,4,A,Dnepr
6/19/2014,Duchifat 1,TTMTR,Space Lab Herzliya Science Center,uni,1U,ISIPOD,E,4,A,Dnepr
6/19/2014,PACE,TTMTR,National Cheng Kung University,uni,2U,ISIPOD,E,2,N,Dnepr
6/19/2014,Flock-1c 10 090C,TTMTR,Planet Labs,com,3U,ISIPOD,I,4,A,Dnepr
6/19/2014,NanoSatC-Br 1,TTMTR,INPE Southern Regional Space Research Center,civ,1U,ISIPOD,S,3,N,Dnepr
6/19/2014,QB50P1 (EO-79),TTMTR,von Karman Institute,com,2U,ISIPOD,T,4,A,Dnepr
6/19/2014,Flock-1c 07 0909,TTMTR,Planet Labs,com,3U,ISIPOD,I,4,A,Dnepr
6/19/2014,Flock-1c 01 0903,TTMTR,Planet Labs,com,3U,ISIPOD,I,4,A,Dnepr
6/19/2014,POPSAT-HIP,TTMTR,Microspace Rapid Pte Ltd,com,3U,ISIPOD,T,4,A,Dnepr
6/19/2014,Flock-1c 02 0904,TTMTR,Planet Labs,com,3U,ISIPOD,I,4,A,Dnepr
6/19/2014,DTUSat 2,TTMTR,Danmarks Tekniske Universitet,uni,1U,ISIPOD,S,2,N,Dnepr
6/19/2014,Flock-1c 04 0906,TTMTR,Planet Labs,com,3U,ISIPOD,I,4,A,Dnepr
6/19/2014,QB50P2 (EO-80),TTMTR,von Karman Institute,com,2U,ISIPOD,T,4,A,Dnepr
6/19/2014,Flock-1c 11 090D,TTMTR,Planet Labs,com,3U,ISIPOD,I,4,A,Dnepr
6/30/2014,VELOX I-NSAT,SRI,Nanyang Technological University,uni,3U,ISIPOD,T,3,A,PSLV-CA
7/8/2014,UKube 1,TTMTR,ClydeSpace,civ,3U,ISIPOD,T,5,N,Soyuz-2-1b
8/19/2014,Chasqui 1,TTMTR,Universidad Nacional de Ingeniería del Perú,uni,1U,Hand,E,2,D,Progress-M 22M
8/19/2014,Flock-1b 24,WLPIS,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
8/19/2014,Flock-1b 23,WLPIS,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
8/20/2014,Flock-1b 26,WLPIS,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
8/20/2014,Flock-1b 25,WLPIS,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
8/20/2014,Flock-1b 15,WLPIS,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
8/20/2014,Flock-1b 16,WLPIS,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
8/21/2014,Flock-1b 01,WLPIS,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
8/21/2014,Flock-1b 02,WLPIS,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
8/23/2014,Flock-1b 07,WLPIS,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
8/23/2014,Flock-1b 08,WLPIS,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
9/1/2014,Flock-1b 13,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares-120
9/1/2014,Flock-1b 14,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares-120
9/1/2014,Flock-1b 19,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares-120
9/1/2014,Flock-1b 20,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares-120
9/1/2014,Flock-1b 03,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares-120
9/1/2014,Flock-1b 04,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares-120
9/5/2014,Flock-1b 18,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares-120
9/5/2014,Flock-1b 17,WLPIS,Planet Labs,com,3U,NRCSD,I,5,D,Antares-120
10/28/2014,Arkyd-3,WLPIS,Planetary Resources Inc.,com,3U,NRCSD,T,1,D,Antares-120
10/28/2014,Flock-1d 01,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 02,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 03,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 04,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 05,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 06,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 07,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 08,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 09,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 10,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 11,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 12,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 13,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 14,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 15,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 16,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 17,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 18,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 19,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 20,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 21,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 22,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 23,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 24,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 25,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,Flock-1d 26,WLPIS,Planet Labs,com,3U,NRCSD,I,1,D,Antares
10/28/2014,RACE,WLPIS,University of Texas,uni,3U,NRCSD,T,1,D,Antares
10/28/2014,GOMX 2,WLPIS,GOMSpace,com,2U,NRCSD,T,1,D,Antares
1/31/2015,FIREBIRD-IIA,AFWTR,Montana State University,uni,1.5U,PPOD,S,4,A,Delta-7320
1/31/2015,FIREBIRD-IIB,AFWTR,Montana State University,uni,1.5U,PPOD,S,4,A,Delta-7320
1/31/2015,GRIFEX,AFWTR,NASA JPL,civ,3U,PPOD,T,4,A,Delta-7320
1/31/2015,EXOCUBE (CP10),AFWTR,Cal Poly,uni,3U,PPOD,S,3,A,Delta-7320
2/5/2015,AESP-14,AFETR,Aeronautics Technological Institute,civ,1U,J-SSOD,T,2,D,Falcon-9
2/27/2015,Flock-1b 27 0823,AFETR,Planet Labs,com,3U,NRCSD,I,4,A,Antares-120
2/27/2015,Flock-1b 28 081B,AFETR,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
3/2/2015,Flock-1b 21 0817,AFETR,Planet Labs,com,3U,NRCSD,I,4,A,Antares-120
3/2/2015,Flock-1b 22 081F,AFETR,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
3/2/2015,Flock-1b 09,AFETR,Planet Labs,com,3U,NRCSD,I,4,D,Antares-120
